"from","to"
"justjoshing77","942710597577256960"
"PeperoniSH","942710532787798016"
"DanTheWarlock","942710014212558848"
"DanTheWarlock","942706734531055616"
"Setheris","942709835958697984"
"Evolyn_Warcraft","942708767040458753"
"Leetawow","942708419525357569"
"LynnethTrannyth","942708278127202304"
"DazTheGamerUK","942707247339261952"
"JudgeHype","942707169979453440"
"Norbu_V","942706965855326208"
"PromoteGamers","942706114306514944"
"imperious0212","942706099358175232"
"Astral_Aurora","942706076025282560"
"NoobClub","942706011554635776"
"Kellryth","942705952830164992"
"Kellryth","942705938548523008"
"Kellryth","942705861394395136"
"Kellryth","942705813466042370"
"GamerRetweeters","942705931158196225"
"The_Solista","942705486184570880"
"The_Solista","942702726378606593"
"The_Solista","942697743369359360"
"The_Solista","942697210717917184"
"vergil1991434","942704629581787136"
"HarfordCompany","942704094275342336"
"DirkKamstra","942704030689759233"
"x_astronaut_x","942703836208263168"
"DeviDemon","942703784840650752"
"Turbocat777","942703543600992256"
"_Wynardtage_","942702471893446656"
"Wolfsbane11B","942702454034059264"
"Wolfsbane11B","942702049480921089"
"Wolfsbane11B","942700630870822912"
"Mark_West_Gamer","942702413319942144"
"Volardelis","942702188685488128"
"Jul_Ney","942701913526751239"
"Charlie5h33n","942701831964172288"
"ValheitShitlord","942701485804068864"
"LeoryBlue","942701470151069698"
"LeoryBlue","942697630781624321"
"MrMoo1985","942700705051164672"
"Sullin96","942700034042290176"
"NicaraoGaming","942699653820243968"
"Mementh","942698654388903936"
"TheArtBond","942698456963043328"
"Puddy207","942698292873330688"
"SaradoraArt","942698123813621761"
"VexDarling","942697772163018752"
"tokoroteen_wow","942697613895155713"
